0 10 ['935', '1654', '2629', '2630', '2673', '2803', '2804', '3644', '4078', '4092']
1 9 ['3803', '3804', '3805', '3806', '3807', '3808', '3809', '3810', '3811']
2 8 ['1707', '3764', '3765', '3767', '3770', '3773', '3774', '3872']
3 6 ['1656', '1657', '1658', '1662', '2631', '2632']
4 5 ['1042', '1550', '1643', '1648', '3276']
5 5 ['624', '1849', '2370', '2506', '2627']
6 5 ['2197', '2254', '2258', '2259', '2271']
7 5 ['1852', '2929', '2934', '3208', '3214']
8 4 ['2958', '3098', '3282', '3919']
9 4 ['2196', '2255', '2256', '2272']
10 4 ['2612', '2613', '2691', '2698']
11 3 ['2581', '2583', '2584']
12 3 ['89', '782', '1572']
13 3 ['2073', '2130', '2131']
14 3 ['2088', '2590', '2643']
15 3 ['2027', '2028', '2029']
16 3 ['2187', '3236', '3253']
17 3 ['4033', '4040', '4041']
18 3 ['2851', '2921', '3155']
19 3 ['2318', '2365', '2366']
20 3 ['1676', '1713', '3861']
21 3 ['3863', '3877', '3884']
22 3 ['2041', '2042', '2043']
23 3 ['692', '780', '3374']
24 3 ['3331', '3762', '3771']
25 3 ['243', '252', '352']
26 3 ['2103', '2107', '2182']
27 3 ['2086', '2587', '2588']
28 3 ['2882', '2883', '2885']
29 3 ['3758', '3760', '3775']
30 3 ['1468', '2771', '3132']
31 3 ['2302', '4029', '4030']
32 3 ['1114', '2863', '3127']
33 3 ['1562', '2211', '3013']
34 3 ['1724', '1726', '3009']
35 3 ['2596', '2597', '2830']
36 3 ['3903', '3908', '3942']
37 3 ['1957', '1958', '3754']
38 3 ['2188', '2932', '3213']
39 3 ['2880', '2881', '2919']
40 3 ['3824', '3831', '3835']
41 3 ['2428', '2429', '3221']
42 3 ['2521', '2522', '2899']
43 2 ['1782', '3878']
127 2 ['805', '3192']
128 2 ['4032', '4039']
129 2 ['272', '970']
130 2 ['2833', '3801']
131 2 ['1691', '1692']
132 2 ['2085', '2512']
133 2 ['3936', '3937']
134 2 ['824', '3277']
135 2 ['1681', '4037']
136 2 ['2017', '2019']
137 2 ['2238', '2317']
138 2 ['3704', '3705']
139 2 ['2617', '2618']
140 2 ['3727', '3845']
141 2 ['2101', '2169']
142 2 ['1029', '1044']
143 2 ['3975', '3976']
144 2 ['2407', '2410']
145 2 ['2281', '2290']
146 2 ['2821', '2827']
147 2 ['949', '1021']
148 2 ['2479', '2513']
149 2 ['3867', '3869']
150 2 ['2983', '3707']
151 2 ['1846', '2666']
152 2 ['4027', '4028']
153 2 ['2057', '3089']
154 2 ['2835', '3871']
155 2 ['2080', '2083']
156 2 ['2508', '2509']
157 2 ['2822', '2828']
158 2 ['2139', '2909']
159 2 ['1842', '2991']
160 2 ['2615', '2616']
161 2 ['2696', '2823']
162 2 ['2743', '2746']
163 2 ['1689', '3677']
164 2 ['2744', '2750']
165 2 ['1703', '1719']
166 2 ['660', '661']
167 2 ['2151', '2498']
168 2 ['2453', '2895']
169 2 ['3200', '3840']
170 2 ['2677', '2762']
171 2 ['1266', '2845']
172 2 ['3088', '3170']
173 2 ['3229', '3240']
174 2 ['2430', '3820']
175 2 ['3125', '3195']
176 2 ['2599', '2600']
177 2 ['1701', '3916']
178 2 ['1835', '2898']
179 2 ['1667', '1668']
180 2 ['2210', '2633']
181 2 ['1345', '1348']
182 2 ['3483', '3485']
183 2 ['3969', '4022']
184 2 ['2225', '2226']
185 2 ['2228', '2229']
186 2 ['2925', '3294']
187 2 ['2234', '2235']
188 2 ['4024', '4025']
189 2 ['1695', '3918']
190 2 ['2336', '2337']
191 2 ['3992', '4010']
192 2 ['1847', '3095']
193 2 ['2239', '2240']
194 2 ['3951', '3959']
195 2 ['3724', '3914']
196 2 ['1798', '1800']
197 2 ['2241', '2242']
198 2 ['2133', '2135']
199 2 ['1464', '3033']
200 2 ['1480', '1526']
201 2 ['1875', '3140']
202 2 ['2421', '2458']
203 2 ['3021', '3264']
204 2 ['2455', '3292']
205 2 ['3832', '3836']
206 2 ['2497', '3847']
207 2 ['3904', '3905']
208 2 ['1817', '1818']
209 2 ['3752', '3753']
210 2 ['999', '3284']
211 2 ['1833', '3072']
212 2 ['1832', '3194']
213 2 ['2489', '2490']
214 2 ['2212', '2213']
215 2 ['1257', '2825']
216 2 ['3237', '3246']
217 2 ['2935', '3161']
218 2 ['2837', '2838']
219 2 ['2834', '3802']
220 2 ['2733', '2931']
221 2 ['2143', '3717']
222 2 ['3261', '3706']
223 2 ['3150', '3204']
