0 9 ['1742', '3786', '3787', '3789', '3790', '3792', '3795', '3796', '3896']
1 9 ['3825', '3826', '3827', '3828', '3829', '3830', '3831', '3832', '3833']
2 8 ['303', '1657', '1917', '2411', '2556', '2672', '3068', '3412']
3 7 ['1683', '2673', '2720', '2828', '2829', '4109', '4121']
4 5 ['1684', '1685', '1686', '2674', '2675']
5 5 ['2244', '2299', '2303', '2304', '2315']
6 5 ['1922', '2952', '2957', '3245', '3252']
7 4 ['2243', '2300', '2301', '2316']
8 4 ['1448', '2027', '2028', '3770']
9 4 ['900', '2142', '2638', '2639']
10 4 ['1500', '1573', '2460', '2461']
11 4 ['2568', '2595', '3209', '3217']
12 4 ['2656', '2657', '2735', '2742']
13 3 ['2361', '2404', '2405']
14 3 ['3890', '3903', '3913']
15 3 ['4056', '4061', '4062']
16 3 ['1706', '1748', '3886']
17 3 ['3780', '3782', '3797']
18 3 ['2897', '2898', '2906']
19 3 ['2365', '2901', '2910']
20 3 ['2128', '2180', '2181']
21 3 ['1669', '1798', '3888']
22 3 ['2144', '2641', '2691']
23 3 ['3932', '3935', '3968']
24 3 ['1834', '3889', '3906']
25 3 ['2632', '2634', '2635']
26 3 ['1715', '3887', '4058']
27 3 ['2572', '2573', '2922']
28 3 ['92', '1721', '3808']
29 3 ['3226', '3326', '3329']
30 3 ['1888', '1889', '1890']
31 3 ['2781', '2879', '3163']
32 3 ['1282', '2739', '4099']
33 3 ['2867', '2944', '3192']
34 3 ['3844', '3851', '3856']
35 3 ['2464', '3852', '3857']
36 3 ['2474', '2475', '3259']
37 3 ['2155', '2158', '2229']
38 3 ['2236', '2955', '3251']
39 3 ['2486', '2501', '3324']
40 3 ['2235', '3272', '3286']
41 3 ['1761', '1763', '3043']
42 3 ['195', '272', '382']
43 3 ['2893', '2894', '2942']
44 2 ['2237', '3271']
112 2 ['2324', '2333']
113 2 ['3775', '3777']
114 2 ['2407', '3015']
115 2 ['2600', '2602']
116 2 ['1881', '1882']
117 2 ['107', '3699']
118 2 ['3294', '3723']
119 2 ['863', '2579']
120 2 ['2485', '4089']
121 2 ['2518', '2519']
122 2 ['2763', '2954']
123 2 ['1531', '1795']
124 2 ['1738', '1755']
125 2 ['410', '1318']
126 2 ['2795', '3166']
127 2 ['2409', '3030']
128 2 ['3273', '3280']
129 2 ['3268', '3320']
130 2 ['604', '2397']
131 2 ['2569', '3231']
132 2 ['2153', '2217']
133 2 ['2669', '2670']
134 2 ['281', '1604']
135 2 ['2628', '2640']
136 2 ['729', '937']
137 2 ['3478', '3984']
138 2 ['980', '2689']
139 2 ['1774', '2509']
140 2 ['1123', '2779']
141 2 ['2345', '4052']
142 2 ['3315', '3945']
143 2 ['2520', '2562']
144 2 ['1915', '3133']
145 2 ['1946', '3175']
146 2 ['3768', '3769']
147 2 ['1069', '1070']
148 2 ['2467', '2468']
149 2 ['1724', '3691']
150 2 ['2558', '2559']
151 2 ['3266', '3275']
152 2 ['2469', '2503']
153 2 ['2450', '2453']
154 2 ['1129', '1131']
155 2 ['1813', '1816']
156 2 ['2539', '3867']
157 2 ['196', '274']
158 2 ['4048', '4050']
159 2 ['2255', '2676']
160 2 ['1991', '3961']
161 2 ['1901', '3105']
162 2 ['3239', '3861']
163 2 ['1914', '2714']
164 2 ['2322', '2330']
165 2 ['1693', '1695']
166 2 ['1814', '1817']
167 2 ['3186', '3243']
168 2 ['3721', '3722']
169 2 ['3742', '3865']
170 2 ['2183', '2185']
171 2 ['2958', '3200']
172 2 ['2055', '2057']
173 2 ['2852', '3824']
174 2 ['3011', '3724']
175 2 ['4046', '4047']
176 2 ['1496', '3310']
177 2 ['2375', '2663']
178 2 ['2136', '2139']
179 2 ['2724', '2782']
180 2 ['2937', '3262']
181 2 ['1815', '1818']
182 2 ['4034', '4035']
183 2 ['2845', '2847']
184 2 ['2964', '3220']
185 2 ['2715', '2768']
186 2 ['1647', '1664']
187 2 ['2790', '3167']
188 2 ['3122', '3208']
189 2 ['1910', '3018']
190 2 ['3161', '3234']
191 2 ['2850', '3822']
192 2 ['1326', '1654']
193 2 ['2061', '2087']
194 2 ['2078', '2080']
195 2 ['2530', '2531']
196 2 ['1900', '3233']
197 2 ['1743', '3547']
198 2 ['2115', '3123']
199 2 ['3970', '3981']
200 2 ['4049', '4051']
201 2 ['2554', '3854']
202 2 ['2855', '2856']
203 2 ['4090', '4091']
204 2 ['577', '2370']
205 2 ['2476', '3840']
206 2 ['1923', '1931']
207 2 ['2661', '2662']
208 2 ['2271', '2272']
209 2 ['2199', '2540']
210 2 ['1461', '1658']
211 2 ['1731', '3944']
212 2 ['2258', '2259']
213 2 ['3994', '4044']
214 2 ['249', '2109']
215 2 ['2282', '2283']
216 2 ['1853', '1855']
217 2 ['2284', '2285']
218 2 ['3056', '3297']
219 2 ['2001', '2002']
220 2 ['1727', '1728']
